date,weather,temperature,visitors
2022-07-05,曇り,27.1491577026725,49.0
2022-07-06,曇り,30.00417795844733,40.0
2022-07-07,曇り,25.80691834546546,31.0
2022-07-08,曇り,23.213713587118985,30.0
2022-07-09,曇り,27.30252547201677,29.0
2022-07-10,曇り,23.763724768789178,34.0
2022-07-11,曇り,26.14629037650061,35.0
2022-07-12,曇り,25.031838177433176,37.0
2022-07-13,曇り,25.986109824987345,31.0
2022-07-14,曇り,20.318244431727575,24.0
2022-07-15,曇り,24.303411172161926,25.0
2022-07-16,曇り,20.87307968539118,33.0
2022-07-17,曇り,22.443034718362476,29.0
2022-07-18,曇り,27.36568579321673,28.0
2022-07-19,曇り,27.39444392865826,27.0
2022-07-20,曇り,27.075514162073123,26.0
2022-07-21,曇り,27.77459146438152,22.0
2022-07-22,曇り,27.306761030746152,31.0
2022-07-23,曇り,27.16638678981092,41.0
2022-07-24,曇り,21.330069022782197,41.0
2022-07-25,曇り,24.067541724614323,34.0
2022-07-26,曇り,26.154525053086704,28.0
2022-07-27,曇り,25.14235735735593,19.0
2022-07-28,曇り,24.03979347688922,11.0
2022-07-29,曇り,23.776730886420392,18.0
2022-07-30,曇り,26.118661774448668,28.0
2022-07-31,曇り,26.27119761949006,28.0
2022-08-01,曇り,26.17475631786825,28.0
2022-08-02,曇り,25.755526921218028,27.0
2022-08-03,曇り,24.40088705810689,20.0
2022-08-04,曇り,16.771561523160578,15.0
2022-08-05,曇り,23.470236956242864,23.0
2022-08-06,曇り,22.774169040838586,33.0
2022-08-07,曇り,21.83621513183321,35.0
2022-08-08,曇り,24.601451795185852,32.0
2022-08-09,曇り,24.659871223666745,28.0
2022-08-10,曇り,24.782647584973695,21.0
2022-08-11,曇り,22.80443357105494,12.0
2022-08-12,曇り,21.460733486941916,19.0
2022-08-13,曇り,23.35200761783888,29.0
2022-08-14,曇り,24.869969859886734,30.0
2022-08-15,曇り,23.85215316801243,28.0
2022-08-16,曇り,25.845013192612907,29.0
2022-08-17,曇り,25.76665626192409,24.0
2022-08-18,曇り,24.556886008847435,15.0
2022-08-19,曇り,25.73080714137972,23.0
2022-08-20,曇り,27.94159567348412,35.0
2022-08-21,曇り,26.55687219010978,33.0
2022-08-22,曇り,23.89131142868208,30.0
2022-08-23,曇り,21.974072780543164,29.0
2022-08-24,曇り,19.460771759082213,22.0
2022-08-25,曇り,19.84345534345653,13.0
2022-08-26,曇り,22.21105540362746,21.0
2022-08-27,曇り,21.99935878168688,31.0
2022-08-28,曇り,20.744024547805694,34.0
2022-08-29,曇り,21.064846949941685,34.0
2022-08-30,曇り,23.78820729014036,32.0
2022-08-31,曇り,19.925645547039956,23.0
2022-09-01,曇り,18.056062320275785,15.0
2022-09-02,曇り,20.08315088487543,25.0
2022-09-03,曇り,25.023906522354952,36.0
2022-09-04,曇り,23.69893111638893,49.0
2022-09-05,曇り,16.315381389140516,51.0
2022-09-06,曇り,15.193172798517255,50.0
2022-09-07,曇り,17.528558977954663,39.0
2022-09-08,曇り,17.20786906519896,30.0
2022-09-09,曇り,19.2038269550755,27.0
2022-09-10,晴れ,18.705107645801714,35.0
2022-09-11,曇り,18.783826461017878,33.0
2022-09-12,曇り,19.894167968023595,32.0
2022-09-13,曇り,20.55667863861895,32.0
2022-09-14,曇り,22.295153074085864,23.0
2022-09-15,曇り,26.09871199765808,14.0
2022-09-16,曇り,27.56619711491764,21.0
2022-09-17,曇り,25.756413010402245,32.0
2022-09-18,曇り,20.403947152472398,29.0
2022-09-19,曇り,22.198574999188942,31.0
2022-09-20,曇り,28.24307822512248,30.0
2022-09-21,曇り,29.8132198509508,23.0
2022-09-22,曇り,30.134191059245442,14.0
2022-09-23,曇り,30.626642592037054,23.0
2022-09-24,曇り,29.96754313886327,31.0
2022-09-25,曇り,28.068437853977606,32.0
2022-09-26,曇り,28.107441187754286,30.0
2022-09-27,曇り,18.90336281725901,29.0
2022-09-28,曇り,18.742012593870808,21.0
2022-09-29,曇り,17.483343074224553,12.0
2022-09-30,曇り,17.188930135720785,23.0
2022-10-01,曇り,18.8504027855042,34.0
2022-10-02,曇り,24.177733299443357,35.0
2022-10-03,曇り,23.43920053930542,37.0
2022-10-04,曇り,21.030039013120366,37.0
2022-10-05,曇り,19.60126340167215,27.0
2022-10-06,雨,18.323499498958356,23.0
2022-10-07,曇り,22.274017694509006,35.0
2022-10-08,曇り,21.42122040072832,43.0
2022-10-09,曇り,20.864593114241636,43.0
2022-10-10,曇り,16.367791247686352,51.0
2022-10-11,雨,14.332368137171786,54.0
2022-10-12,曇り,14.654233001218367,43.0
2022-10-13,曇り,18.478292149597696,36.0
2022-10-14,曇り,17.4588549247936,54.0
2022-10-15,曇り,12.081114250649117,60.0
2022-10-16,晴れ,12.736844948674364,54.0
2022-10-17,曇り,16.647517936784023,52.0
2022-10-18,晴れ,17.16907014178332,51.0
2022-10-19,曇り,15.659260350830454,33.0
2022-10-20,曇り,20.29680287616112,21.0
2022-10-21,曇り,21.984574740071558,28.0
2022-10-22,曇り,18.163782333920665,43.0
2022-10-23,曇り,11.500336559665909,53.0
2022-10-24,曇り,7.8326118326108425,44.2
2022-10-25,曇り,7.8648610092141364,46.15
2022-10-26,曇り,11.312307283358614,42.9
2022-10-27,曇り,4.196262578697565,59.0
2022-10-28,曇り,3.989610487740107,63.0
2022-10-29,曇り,6.191582805962253,62.0
2022-10-30,曇り,6.562457569584469,65.0
2022-10-31,曇り,2.8492261348295065,44.85
2022-11-01,曇り,4.674911372328662,46.800000000000004
2022-11-02,曇り,9.246820700667355,42.9
2022-11-03,曇り,6.4682952612200255,59.0
2022-11-04,雨,8.286253369272517,44.85
2022-11-05,曇り,10.095809455587457,49.4
2022-11-06,曇り,3.697364661590517,47.45
2022-11-07,曇り,4.0755991923925565,46.15
2022-11-08,曇り,4.034847760243478,45.5
2022-11-09,曇り,2.6517303603647826,62.0
